 err sigma lambda
0.0 1.5 0.3 66/131 50.38167938931297%
0.0 1.5 0.5 65/110 59.09090909090909%
0.0 1.5 0.7 72/122 59.01639344262295%
0.0 1.5 0.9 61/100 61.0%
0.0 1.5 1.1 75/124 60.483870967741936%
0.0 1.5 1.3 57/113 50.442477876106196%
0.0 1.5 1.5 65/114 57.01754385964912%
0.0 1.7 0.3 63/128 49.21875%
0.0 1.7 0.5 82/129 63.565891472868216%
0.0 1.7 0.7 63/122 51.63934426229508%
0.0 1.7 0.9 87/144 60.416666666666664%
0.0 1.7 1.1 60/118 50.847457627118644%
0.0 1.7 1.3 67/116 57.758620689655174%
0.0 1.7 1.5 62/118 52.54237288135594%
0.0 1.9 0.3 60/99 60.60606060606061%
0.0 1.9 0.5 69/116 59.48275862068966%
0.0 1.9 0.7 65/115 56.52173913043478%
0.0 1.9 0.9 68/112 60.71428571428571%
0.0 1.9 1.1 75/131 57.25190839694656%
0.0 1.9 1.3 79/136 58.08823529411765%
0.0 1.9 1.5 78/128 60.9375%
0.0 2.1 0.3 57/109 52.293577981651374%
0.0 2.1 0.5 60/98 61.224489795918366%
0.0 2.1 0.7 79/123 64.22764227642277%
0.0 2.1 0.9 65/110 59.09090909090909%
0.0 2.1 1.1 95/146 65.06849315068493%
0.0 2.1 1.3 71/109 65.13761467889908%
0.0 2.1 1.5 81/128 63.28125%
0.0 2.3 0.3 69/120 57.49999999999999%
0.0 2.3 0.5 73/133 54.88721804511278%
0.0 2.3 0.7 67/95 70.52631578947368%
0.0 2.3 0.9 68/117 58.119658119658126%
0.0 2.3 1.1 71/138 51.449275362318836%
0.0 2.3 1.3 80/136 58.82352941176471%
0.0 2.3 1.5 77/120 64.16666666666667%
0.0 2.5 0.3 53/110 48.18181818181818%
0.0 2.5 0.5 75/121 61.98347107438017%
0.0 2.5 0.7 63/109 57.798165137614674%
0.0 2.5 0.9 50/94 53.191489361702125%
0.0 2.5 1.1 62/103 60.19417475728155%
0.0 2.5 1.3 66/132 50.0%
0.0 2.5 1.5 75/123 60.97560975609756%
